time,no1_el,no2_el,no3_el,no4_el,no1_rt,no2_rt,no3_rt,no4_rt,abs
2018-07-27 PM 6:00,70.10,66.73,70.71,58.78,1138.22,936.22,1006.53,779.10,7.52
2018-07-27 PM 7:00,70.54,66.62,70.93,58.68,1156.88,950.10,1007.85,776.41,7.7
2018-07-27 PM 8:00,70.21,66.71,71.17,58.62,1181.49,974.41,1008.95,769.00,7.6
2018-07-27 PM 9:00,69.85,67.03,70.41,58.25,1136.52,989.37,997.49,769.05,7.44
2018-07-27 PM 10:00,70.06,67.38,69.99,57.51,1142.61,996.66,992.66,766.38,7.49
2018-07-27 PM 11:00,70.12,68.10,70.34,58.11,1176.59,1000.66,1002.37,775.25,7.39
2018-07-28 AM 12:00,69.94,68.57,70.05,57.63,1156.53,937.82,1006.25,769.53,7.09
2018-07-28 AM 1:00,70.29,67.15,69.65,55.19,1166.99,928.66,1000.77,747.37,7.14
2018-07-28 AM 2:00,70.31,66.66,68.62,54.55,1198.85,950.90,992.51,737.17,7.11
2018-07-28 AM 3:00,69.13,64.60,65.66,53.14,1143.95,948.77,960.74,718.56,7.3
2018-07-28 AM 4:00,68.17,61.06,62.05,51.56,1131.88,914.70,925.13,706.91,6.97
2018-07-28 AM 5:00,67.10,60.78,61.81,50.74,1139.56,920.11,928.52,698.88,7.03
2018-07-28 AM 6:00,62.59,60.71,60.17,49.41,1089.54,914.75,905.34,684.27,6.96
2018-07-28 AM 7:00,63.50,61.50,61.91,52.62,1095.38,926.35,929.27,713.95,7.47
2018-07-28 AM 8:00,65.10,61.67,64.71,53.07,1113.69,924.22,961.54,723.16,7.53
2018-07-28 AM 9:00,66.92,65.14,64.52,54.03,1145.34,932.13,959.60,732.02,7.06
2018-07-28 AM 10:00,66.59,66.36,64.68,53.74,1153.27,933.05,961.67,727.20,6.73
2018-07-28 AM 11:00,67.34,65.31,66.02,55.41,1134.35,937.21,975.55,746.50,6.59
2018-07-28 PM 12:00,68.71,64.40,66.83,56.03,1167.69,942.94,989.13,752.04,6.2
2018-07-28 PM 1:00,67.89,64.01,66.83,54.33,1192.40,944.24,989.53,738.56,5.29
2018-07-28 PM 2:00,65.24,63.57,66.47,52.96,1116.73,937.84,984.77,719.63,5.09
2018-07-28 PM 3:00,66.51,63.60,65.13,54.17,1137.42,941.81,972.35,733.37,5.01
2018-07-28 PM 4:00,69.39,64.34,69.10,56.51,1217.95,951.22,1039.30,759.07,5.16
2018-07-28 PM 5:00,65.73,62.20,62.81,53.29,1124.49,939.20,1006.50,727.71,5.15
2018-07-28 PM 6:00,65.01,60.91,58.88,51.93,1111.25,937.25,964.07,716.54,4.97
2018-07-28 PM 7:00,66.36,60.88,58.59,51.81,1153.41,939.51,963.66,713.14,5.12
2018-07-28 PM 8:00,64.57,61.10,58.56,52.49,1141.46,941.37,964.43,717.90,5.18
2018-07-28 PM 9:00,63.31,61.19,57.60,51.65,1100.29,939.51,954.56,712.64,4.75
2018-07-28 PM 10:00,65.12,61.17,57.42,51.32,1146.85,940.17,952.27,709.05,4.8
2018-07-28 PM 11:00,62.51,61.96,56.89,51.50,1109.60,942.64,932.97,708.09,4.66
2018-07-29 AM 12:00,64.54,65.86,62.28,53.63,1130.59,957.63,955.88,730.93,4.58
2018-07-29 AM 1:00,63.90,64.25,62.64,49.89,1133.67,949.21,955.25,693.22,4.66
2018-07-29 AM 2:00,61.97,63.04,58.46,47.52,1088.14,938.17,901.14,659.65,4.56
2018-07-29 AM 3:00,63.77,63.13,59.27,50.74,1140.29,947.10,915.70,703.63,4.83
2018-07-29 AM 4:00,60.85,62.53,60.00,48.56,1092.87,938.92,920.89,673.00,4.88
2018-07-29 AM 5:00,59.46,62.11,58.66,47.73,1051.21,937.08,903.64,664.16,5.09
2018-07-29 AM 6:00,61.08,62.29,58.67,48.91,1079.34,932.74,901.64,677.40,5
2018-07-29 AM 7:00,63.07,62.95,61.13,52.05,1123.51,941.94,932.90,716.73,4.6
2018-07-29 AM 8:00,65.22,63.20,64.66,53.26,1126.87,944.41,975.73,731.88,4.76
2018-07-29 AM 9:00,65.80,62.95,64.42,51.42,1146.20,940.33,969.68,709.73,4.66
2018-07-29 AM 10:00,64.01,62.76,63.09,49.14,1143.66,936.87,953.09,684.82,4.55
2018-07-29 AM 11:00,62.78,62.71,61.90,51.62,1111.67,955.03,953.04,711.69,4.45
2018-07-29 PM 12:00,63.70,62.68,62.40,51.56,1128.85,955.72,960.41,713.90,4.51
2018-07-29 PM 1:00,63.35,62.51,62.26,50.48,1119.53,946.54,954.03,696.56,4.5
2018-07-29 PM 2:00,64.03,62.38,61.98,49.95,1132.49,945.97,950.75,692.43,4.51
2018-07-29 PM 3:00,62.26,62.57,61.59,50.71,1120.96,951.97,947.97,701.68,4.67
2018-07-29 PM 4:00,62.88,62.58,61.45,51.70,1109.92,952.58,949.81,716.09,4.71
2018-07-29 PM 5:00,63.44,62.23,61.22,50.30,1131.03,949.19,946.15,700.53,4.6
2018-07-29 PM 6:00,63.62,62.31,60.51,49.53,1128.93,946.19,934.92,690.60,4.47
2018-07-29 PM 7:00,62.44,62.47,60.58,49.89,1121.11,938.70,929.06,686.13,4.75
2018-07-29 PM 8:00,61.53,62.69,60.78,49.75,1075.05,935.59,925.12,683.64,4.97
2018-07-29 PM 9:00,62.96,62.87,61.39,50.85,1105.00,940.80,933.86,696.09,5.03
2018-07-29 PM 10:00,63.31,62.52,60.99,48.95,1099.59,929.98,921.28,679.25,4.65
2018-07-29 PM 11:00,64.04,63.09,62.18,52.53,1138.32,942.81,940.97,717.78,4.38
2018-07-30 AM 12:00,64.93,63.23,64.16,51.32,1119.42,943.08,963.76,704.79,4.16
2018-07-30 AM 1:00,65.03,63.02,62.77,49.06,1126.41,933.57,942.21,680.02,4.27
2018-07-30 AM 2:00,64.11,63.38,63.03,51.13,1133.94,943.27,947.07,702.41,4.34
2018-07-30 AM 3:00,64.72,63.31,63.39,51.69,1112.95,941.37,950.00,707.48,4.43
2018-07-30 AM 4:00,65.17,63.03,62.92,49.59,1131.18,933.88,940.32,681.61,4.4
2018-07-30 AM 5:00,63.73,63.23,63.08,50.83,1120.51,941.51,950.65,706.14,4.27
2018-07-30 AM 6:00,64.63,63.21,62.98,51.39,1111.97,937.52,949.49,702.61,4.74
2018-07-30 AM 7:00,66.21,63.06,62.79,51.19,1153.11,934.61,948.74,700.29,4.88
2018-07-30 AM 8:00,64.03,62.98,63.22,50.90,1121.81,936.40,957.47,700.32,3.55
2018-07-30 AM 9:00,65.12,63.07,63.87,51.73,1126.36,941.53,967.62,710.78,3.83
2018-07-30 AM 10:00,67.76,63.46,66.91,55.34,1163.91,948.19,1012.87,749.11,4.3
2018-07-30 AM 11:00,69.04,63.52,63.99,55.81,1191.01,947.14,1027.38,747.59,4.21
2018-07-30 PM 12:00,65.63,62.86,58.66,52.72,1150.20,930.66,959.61,710.45,3.84
2018-07-30 PM 1:00,63.08,63.14,57.67,52.69,1101.21,937.77,945.33,713.76,3.9
2018-07-30 PM 2:00,63.88,62.79,57.14,52.22,1101.08,939.87,949.22,710.07,3.94
2018-07-30 PM 3:00,63.41,62.64,56.48,52.95,1122.22,947.65,949.12,714.90,4.15
2018-07-30 PM 4:00,64.00,62.80,56.41,53.82,1126.29,947.94,939.52,729.75,3.96
2018-07-30 PM 5:00,63.96,62.70,59.76,52.85,1154.36,947.61,922.71,725.06,4.1
2018-07-30 PM 6:00,60.68,62.18,59.43,50.84,1067.95,938.27,916.09,692.75,4.06
2018-07-30 PM 7:00,58.88,62.60,60.26,50.45,1052.47,948.52,928.88,688.82,4.18
2018-07-30 PM 8:00,60.03,62.47,61.79,50.47,1066.85,948.31,949.03,693.43,4.16
2018-07-30 PM 9:00,57.76,62.20,59.12,49.57,1040.73,937.96,911.33,674.67,4
2018-07-30 PM 10:00,59.00,62.72,60.77,50.86,1052.01,952.80,936.23,695.71,3.97
2018-07-30 PM 11:00,55.65,62.34,59.98,49.14,1005.62,943.53,926.71,667.48,3.82
2018-07-31 AM 12:00,52.33,61.84,57.18,48.44,945.76,953.62,905.48,655.62,3.74
2018-07-31 AM 1:00,54.89,62.14,58.15,50.26,1004.07,963.88,920.95,690.43,3.91
2018-07-31 AM 2:00,55.60,61.84,58.24,48.97,1005.93,948.92,914.08,667.33,3.82
2018-07-31 AM 3:00,55.48,62.28,58.43,50.01,988.76,946.90,914.22,679.41,4.03
2018-07-31 AM 4:00,55.72,62.32,59.47,49.28,978.21,947.93,922.95,674.24,3.89
2018-07-31 AM 5:00,55.69,62.29,59.09,49.16,970.94,937.06,912.93,669.86,3.98
2018-07-31 AM 6:00,56.00,62.46,59.28,48.53,969.73,941.28,913.47,666.34,4.23
2018-07-31 AM 7:00,57.24,62.68,59.88,49.94,973.00,937.47,918.98,681.95,4.17
2018-07-31 AM 8:00,60.89,63.06,62.47,52.59,1016.54,942.34,949.18,721.04,4.04
2018-07-31 AM 9:00,65.73,64.39,67.62,56.11,1083.76,965.22,1007.45,770.05,4.45
2018-07-31 AM 10:00,67.94,65.47,69.56,56.32,1109.45,996.73,1018.84,763.61,5.23
2018-07-31 AM 11:00,66.94,61.85,68.90,53.45,1083.09,946.23,1007.32,724.60,4.92
2018-07-31 PM 12:00,65.35,61.15,65.42,51.38,1052.61,927.02,964.77,693.64,4.95
2018-07-31 PM 1:00,65.31,61.47,64.61,51.23,1042.30,920.00,951.72,687.99,4.91
2018-07-31 PM 2:00,65.12,61.69,63.80,51.91,1042.49,921.38,944.00,692.51,4.38
2018-07-31 PM 3:00,65.14,61.89,64.53,53.03,1051.59,932.35,960.46,706.69,4.77
2018-07-31 PM 4:00,65.08,64.11,66.23,53.07,1051.42,934.46,977.96,709.06,4.55
2018-07-31 PM 5:00,65.13,66.79,66.34,52.30,1049.35,934.94,977.93,704.86,4.47
2018-07-31 PM 6:00,65.06,65.29,66.26,52.09,1053.94,940.32,980.56,707.20,4.31
2018-07-31 PM 7:00,64.02,64.38,65.61,51.19,1037.88,939.52,972.68,691.03,4.14
2018-07-31 PM 8:00,57.13,63.73,62.32,48.76,941.53,941.86,941.66,664.32,3.34
2018-07-31 PM 9:00,61.00,63.86,64.26,51.31,1006.50,957.19,974.56,703.10,3.48
2018-07-31 PM 10:00,66.87,63.57,66.76,52.24,1097.84,952.79,997.76,720.19,3.77
2018-07-31 PM 11:00,65.29,63.17,65.95,51.59,1079.25,950.26,989.83,714.08,3.79
2018-08-01 AM 12:00,62.56,62.85,63.95,50.63,1043.23,950.36,970.39,697.64,3.25
2018-08-01 AM 1:00,62.16,62.58,62.51,50.61,1044.64,952.19,958.74,686.10,3.29
